name,description,formula
7. The Law of Conservation of Mass,"The Law of Conservation of Mass states that matter cannot be created or destroyed, only changed in form. This law is expressed mathematically as: Mass = Mass. In other words, the total mass of a system remains constant, regardless of any changes that may occur within the system.","The Law of Conservation of Mass states that matter cannot be created or destroyed, only changed in form. This law is expressed mathematically as: Mass = Mass. In other words, the total mass of a system remains constant, regardless of any changes that may occur within the system."
8. The Law of Multiple Proportions,"The Law of Multiple Proportions states that when two elements combine to form two or more different compounds, the masses of one element that combine with a fixed mass of the other element are in a ratio of small whole numbers. This can be expressed mathematically as:

m1/m2 = n1/n2

where m1 and m2 are the masses of the first element in the two different compounds, and n1 and n2 are the masses of the second element in the two different compounds.","The Law of Multiple Proportions states that when two elements combine to form two or more different compounds, the masses of one element that combine with a fixed mass of the other element are in a ratio of small whole numbers. This can be expressed mathematically as:

m1/m2 = n1/n2

where m1 and m2 are the masses of the first element in the two different compounds, and n1 and n2 are the masses of the second element in the two different compounds."
9. The Law of Definite Proportions,"The Law of Definite Proportions states that a given chemical compound always contains the same elements in the same proportions by mass. This law can be expressed mathematically as:

Mass of Element A / Mass of Element B = Constant","The Law of Definite Proportions states that a given chemical compound always contains the same elements in the same proportions by mass. This law can be expressed mathematically as:

Mass of Element A / Mass of Element B = Constant"
10. The Law of Constant Composition,"The Law of Constant Composition states that all samples of a given compound will always contain the same elements in the same proportions by mass. This law can be expressed mathematically as:

Mass of Element A / Mass of Element B = Constant Proportion.","The Law of Constant Composition states that all samples of a given compound will always contain the same elements in the same proportions by mass. This law can be expressed mathematically as:

Mass of Element A / Mass of Element B = Constant Proportion."
11. The Law of Conservation of Energy,"The Law of Conservation of Energy states that energy cannot be created or destroyed, only transformed from one form to another. This law is expressed mathematically as:

E = E0 + W

Where E is the total energy of a system, E0 is the initial energy of the system, and W is the work done on the system.","The Law of Conservation of Energy states that energy cannot be created or destroyed, only transformed from one form to another. This law is expressed mathematically as:

E = E0 + W

Where E is the total energy of a system, E0 is the initial energy of the system, and W is the work done on the system."
12. The Law of Conservation of Momentum,"The Law of Conservation of Momentum states that the total momentum of a system remains constant, regardless of any internal or external forces acting on the system. This law is expressed mathematically as:

Ptotal = P1 + P2 + P3 + ...

where Ptotal is the total momentum of the system, and P1, P2, P3, etc. are the individual momentums of the objects in the system.","The Law of Conservation of Momentum states that the total momentum of a system remains constant, regardless of any internal or external forces acting on the system. This law is expressed mathematically as:

Ptotal = P1 + P2 + P3 + ...

where Ptotal is the total momentum of the system, and P1, P2, P3, etc. are the individual momentums of the objects in the system."
13. The Law of Conservation of Charge,"The Law of Conservation of Charge states that the total amount of electric charge in an isolated system remains constant. This means that the net electric charge of a closed system cannot change over time. Mathematically, this law can be expressed as:

Q(t) = Q(0)

Where Q(t) is the total electric charge at time t and Q(0) is the total electric charge at time 0.","The Law of Conservation of Charge states that the total amount of electric charge in an isolated system remains constant. This means that the net electric charge of a closed system cannot change over time. Mathematically, this law can be expressed as:

Q(t) = Q(0)

Where Q(t) is the total electric charge at time t and Q(0) is the total electric charge at time 0."
14. The Law of Mass Action,"The Law of Mass Action states that the rate of a chemical reaction is proportional to the product of the concentrations of the reactants. Mathematically, this can be expressed as:

Rate = k[A]^x[B]^y

where k is the rate constant, [A] and [B] are the concentrations of the reactants, and x and y are the reaction orders.","The Law of Mass Action states that the rate of a chemical reaction is proportional to the product of the concentrations of the reactants. Mathematically, this can be expressed as:

Rate = k[A]^x[B]^y

where k is the rate constant, [A] and [B] are the concentrations of the reactants, and x and y are the reaction orders."
15. The Nernst Equation,"The Nernst Equation is a mathematical expression used to calculate the equilibrium potential of a cell membrane. It is named after German chemist Walther Nernst, who developed the equation in 1888. The equation is expressed as:

E = E° - (RT/nF) ln [X]out/[X]in

Where E is the equilibrium potential, E° is the standard potential, R is the gas constant, T is the temperature in Kelvin, n is the number of electrons transferred, F is the Faraday constant, and [X]out and [X]in are the concentrations of the ion outside and inside the cell membrane, respectively. The Nernst Equation is used to calculate the equilibrium potential of a cell membrane, which is the voltage at which the net movement of ions across the membrane is zero.","The Nernst Equation is a mathematical expression used to calculate the equilibrium potential of a cell membrane. It is named after German chemist Walther Nernst, who developed the equation in 1888. The equation is expressed as:

E = E° - (RT/nF) ln [X]out/[X]in

Where E is the equilibrium potential, E° is the standard potential, R is the gas constant, T is the temperature in Kelvin, n is the number of electrons transferred, F is the Faraday constant, and [X]out and [X]in are the concentrations of the ion outside and inside the cell membrane, respectively. The Nernst Equation is used to calculate the equilibrium potential of a cell membrane, which is the voltage at which the net movement of ions across the membrane is zero."
16. The Arrhenius Equation,"The Arrhenius Equation is a mathematical expression used to describe the relationship between the rate of a chemical reaction and the temperature of the reaction. It is expressed as:

k = Ae^(-Ea/RT)

where k is the rate constant, A is the pre-exponential factor, Ea is the activation energy, R is the universal gas constant, and T is the temperature in Kelvin. The Arrhenius Equation is used to predict the rate of a reaction at different temperatures and is an important tool in understanding the kinetics of chemical reactions.","The Arrhenius Equation is a mathematical expression used to describe the relationship between the rate of a chemical reaction and the temperature of the reaction. It is expressed as:

k = Ae^(-Ea/RT)

where k is the rate constant, A is the pre-exponential factor, Ea is the activation energy, R is the universal gas constant, and T is the temperature in Kelvin. The Arrhenius Equation is used to predict the rate of a reaction at different temperatures and is an important tool in understanding the kinetics of chemical reactions."
17. The van der Waals Equation,"The van der Waals equation is a mathematical expression used to describe the behavior of gases and their interactions with each other. It is an equation of state that takes into account the effects of intermolecular forces, which are not accounted for in the ideal gas law. The equation is written as:

P = (nRT)/(V-nb) - a(n^2)/V^2

where P is the pressure, n is the number of moles of the gas, R is the universal gas constant, V is the volume, b is the volume of one mole of the gas, and a is the van der Waals constant.","The van der Waals equation is a mathematical expression used to describe the behavior of gases and their interactions with each other. It is an equation of state that takes into account the effects of intermolecular forces, which are not accounted for in the ideal gas law. The equation is written as:

P = (nRT)/(V-nb) - a(n^2)/V^2

where P is the pressure, n is the number of moles of the gas, R is the universal gas constant, V is the volume, b is the volume of one mole of the gas, and a is the van der Waals constant."
18. The Gibbs Free Energy Equation,"The Gibbs Free Energy Equation is a thermodynamic equation that describes the energy available to do work in a system. It is expressed as:

G = H - TS

where G is the Gibbs Free Energy, H is the enthalpy of the system, T is the temperature of the system, and S is the entropy of the system. The equation states that the energy available to do work in a system is equal to the enthalpy of the system minus the product of the temperature and entropy of the system.","The Gibbs Free Energy Equation is a thermodynamic equation that describes the energy available to do work in a system. It is expressed as:

G = H - TS

where G is the Gibbs Free Energy, H is the enthalpy of the system, T is the temperature of the system, and S is the entropy of the system. The equation states that the energy available to do work in a system is equal to the enthalpy of the system minus the product of the temperature and entropy of the system."
19. The Born-Haber Cycle,"The Born-Haber cycle is a thermodynamic cycle used to calculate the lattice energy of an ionic compound. It is based on Hess's law and involves the enthalpy changes of the following processes: (1) formation of the elements from their gaseous atoms, (2) ionization of the elements, (3) electron affinity of the elements, (4) lattice energy of the ionic compound, and (5) heat of formation of the ionic compound. The Born-Haber cycle can be represented by the following formula:

ΔH_f = ΔH_f^o + ΔH_i + ΔH_ea + ΔH_l - ΔH_f^o","The Born-Haber cycle is a thermodynamic cycle used to calculate the lattice energy of an ionic compound. It is based on Hess's law and involves the enthalpy changes of the following processes: (1) formation of the elements from their gaseous atoms, (2) ionization of the elements, (3) electron affinity of the elements, (4) lattice energy of the ionic compound, and (5) heat of formation of the ionic compound. The Born-Haber cycle can be represented by the following formula:

ΔH_f = ΔH_f^o + ΔH_i + ΔH_ea + ΔH_l - ΔH_f^o"
20. The Bronsted-Lowry Theory,"The Bronsted-Lowry Theory is a theory of acids and bases that states that an acid is a proton donor and a base is a proton acceptor. This theory is based on the idea that when an acid and a base react, the acid will donate a proton to the base, forming a new acid and a new base. The formula for this theory is HA + B → A- + HB+","The Bronsted-Lowry Theory is a theory of acids and bases that states that an acid is a proton donor and a base is a proton acceptor. This theory is based on the idea that when an acid and a base react, the acid will donate a proton to the base, forming a new acid and a new base. The formula for this theory is HA + B → A- + HB+"
1. Big O Notation,Big O Notation is a mathematical notation used to describe the upper bound of an algorithm's running time complexity. It is used to measure the worst-case scenario of an algorithm's performance. The formula for Big O Notation is O(n) where n is the number of operations required to complete the algorithm.,Big O Notation is a mathematical notation used to describe the upper bound of an algorithm's running time complexity. It is used to measure the worst-case scenario of an algorithm's performance. The formula for Big O Notation is O(n) where n is the number of operations required to complete the algorithm.
2. Binary Search Algorithm,"Binary Search Algorithm is an efficient search algorithm that works by repeatedly dividing a list of items into two halves until the desired item is found. It is a divide and conquer algorithm that works by comparing the target value to the middle element of the list. If the target value is less than the middle element, the algorithm will search the left half of the list. If the target value is greater than the middle element, the algorithm will search the right half of the list. The formula for Binary Search Algorithm is:

BinarySearch(A[], target, low, high)

1. If low > high, return -1
2. mid = (low + high) / 2
3. If A[mid] == target, return mid
4. Else if A[mid] > target, return BinarySearch(A[], target, low, mid-1)
5. Else return BinarySearch(A[], target, mid+1, high)","Binary Search Algorithm is an efficient search algorithm that works by repeatedly dividing a list of items into two halves until the desired item is found. It is a divide and conquer algorithm that works by comparing the target value to the middle element of the list. If the target value is less than the middle element, the algorithm will search the left half of the list. If the target value is greater than the middle element, the algorithm will search the right half of the list. The formula for Binary Search Algorithm is:

BinarySearch(A[], target, low, high)

1. If low > high, return -1
2. mid = (low + high) / 2
3. If A[mid] == target, return mid
4. Else if A[mid] > target, return BinarySearch(A[], target, low, mid-1)
5. Else return BinarySearch(A[], target, mid+1, high)"
3. Quicksort Algorithm,"Quicksort is an efficient sorting algorithm that works by partitioning an array into two subarrays, one containing elements less than a pivot element and the other containing elements greater than the pivot element. The algorithm then recursively sorts the subarrays until the entire array is sorted. The formula for Quicksort is as follows:

Quicksort(A, low, high)

1. If low < high
2.   pivot_index = Partition(A, low, high)
3.   Quicksort(A, low, pivot_index - 1)
4.   Quicksort(A, pivot_index + 1, high)
5. End if","Quicksort is an efficient sorting algorithm that works by partitioning an array into two subarrays, one containing elements less than a pivot element and the other containing elements greater than the pivot element. The algorithm then recursively sorts the subarrays until the entire array is sorted. The formula for Quicksort is as follows:

Quicksort(A, low, high)

1. If low < high
2.   pivot_index = Partition(A, low, high)
3.   Quicksort(A, low, pivot_index - 1)
4.   Quicksort(A, pivot_index + 1, high)
5. End if"
4. Hash Table,"A hash table is a data structure that stores key-value pairs. It is used to quickly look up values based on a given key. The hash table uses a hash function to compute an index into an array of buckets or slots, from which the desired value can be found. The formula for a hash table is H(x) = x mod n, where H is the hash function, x is the key, and n is the size of the hash table.","A hash table is a data structure that stores key-value pairs. It is used to quickly look up values based on a given key. The hash table uses a hash function to compute an index into an array of buckets or slots, from which the desired value can be found. The formula for a hash table is H(x) = x mod n, where H is the hash function, x is the key, and n is the size of the hash table."
5. Graph Theory,"Graph Theory is a branch of mathematics that studies the properties of graphs, which are collections of points (vertices) and lines (edges) that connect them. It is used to model relationships between objects, such as networks, social networks, and transportation systems. Graph Theory is used to solve problems in a variety of fields, including computer science, engineering, and operations research. The basic formula for Graph Theory is V (vertices) + E (edges) = G (graph).","Graph Theory is a branch of mathematics that studies the properties of graphs, which are collections of points (vertices) and lines (edges) that connect them. It is used to model relationships between objects, such as networks, social networks, and transportation systems. Graph Theory is used to solve problems in a variety of fields, including computer science, engineering, and operations research. The basic formula for Graph Theory is V (vertices) + E (edges) = G (graph)."
6. Heap Sort Algorithm,"Heap Sort Algorithm is a comparison-based sorting algorithm that uses a data structure called a heap to sort elements. It is an in-place sorting algorithm with an average time complexity of O(n log n). The algorithm works by first creating a heap data structure out of the data set, then removing the largest element from the heap and placing it at the end of the sorted array. This process is repeated until the heap is empty. The Heap Sort Algorithm is a useful sorting algorithm for large data sets as it has a relatively low space complexity of O(1).","Heap Sort Algorithm is a comparison-based sorting algorithm that uses a data structure called a heap to sort elements. It is an in-place sorting algorithm with an average time complexity of O(n log n). The algorithm works by first creating a heap data structure out of the data set, then removing the largest element from the heap and placing it at the end of the sorted array. This process is repeated until the heap is empty. The Heap Sort Algorithm is a useful sorting algorithm for large data sets as it has a relatively low space complexity of O(1)."
7. Knapsack Problem,"The Knapsack Problem is a classic problem in computer science and operations research. It is a combinatorial optimization problem that involves selecting a set of items from a given set of items such that the total weight of the selected items does not exceed a given capacity and the total value of the selected items is maximized. The formula for the Knapsack Problem is:

Maximize: 𝑉 = ∑𝑤𝑖𝑣𝑖

Subject to: ∑𝑤𝑖 ≤ 𝐶

Where 𝑤𝑖 is the weight of the ith item, 𝑣𝑖 is the value of the ith item, and 𝐶 is the capacity of the knapsack.","The Knapsack Problem is a classic problem in computer science and operations research. It is a combinatorial optimization problem that involves selecting a set of items from a given set of items such that the total weight of the selected items does not exceed a given capacity and the total value of the selected items is maximized. The formula for the Knapsack Problem is:

Maximize: 𝑉 = ∑𝑤𝑖𝑣𝑖

Subject to: ∑𝑤𝑖 ≤ 𝐶

Where 𝑤𝑖 is the weight of the ith item, 𝑣𝑖 is the value of the ith item, and 𝐶 is the capacity of the knapsack."
8. Dynamic Programming,"Dynamic Programming is a method of solving complex problems by breaking them down into smaller, simpler subproblems. It is used to optimize the solution of a problem by breaking it down into smaller subproblems and then combining the solutions of those subproblems to obtain the optimal solution. The formula for Dynamic Programming is:

Optimal Solution = f(Optimal Solution of Subproblems)","Dynamic Programming is a method of solving complex problems by breaking them down into smaller, simpler subproblems. It is used to optimize the solution of a problem by breaking it down into smaller subproblems and then combining the solutions of those subproblems to obtain the optimal solution. The formula for Dynamic Programming is:

Optimal Solution = f(Optimal Solution of Subproblems)"
9. Greedy Algorithm,"Greedy Algorithm is an algorithmic strategy that makes the best decision at each step in order to achieve the overall optimal solution. It works by making the most optimal choice at each step, without considering the consequences of the choices made in the previous steps. The formula for a Greedy Algorithm is:

OptimalSolution = GreedyAlgorithm(Input)
{
  // Initialize an optimal solution
  OptimalSolution = null;
  
  // Iterate through the input
  for each element in Input
  {
    // Calculate the best solution for the current element
    CurrentSolution = CalculateBestSolution(element);
    
    // Compare the current solution to the optimal solution
    if (CurrentSolution > OptimalSolution)
    {
      // Update the optimal solution
      OptimalSolution = CurrentSolution;
    }
  }
  
  // Return the optimal solution
  return OptimalSolution;
}","Greedy Algorithm is an algorithmic strategy that makes the best decision at each step in order to achieve the overall optimal solution. It works by making the most optimal choice at each step, without considering the consequences of the choices made in the previous steps. The formula for a Greedy Algorithm is:

OptimalSolution = GreedyAlgorithm(Input)
{
  // Initialize an optimal solution
  OptimalSolution = null;
  
  // Iterate through the input
  for each element in Input
  {
    // Calculate the best solution for the current element
    CurrentSolution = CalculateBestSolution(element);
    
    // Compare the current solution to the optimal solution
    if (CurrentSolution > OptimalSolution)
    {
      // Update the optimal solution
      OptimalSolution = CurrentSolution;
    }
  }
  
  // Return the optimal solution
  return OptimalSolution;
}"
10. Prim's Algorithm,"Prim's Algorithm is a greedy algorithm used to find the minimum spanning tree of a graph. It works by starting with an arbitrary node and adding the lowest-cost edge from that node to another node in the graph. This process is repeated until all nodes in the graph are connected. The formula for Prim's Algorithm is:

MST = { }

while MST does not contain all nodes
    find the lowest-cost edge (u, v) connecting a node in MST to a node not in MST
    add (u, v) to MST

return MST","Prim's Algorithm is a greedy algorithm used to find the minimum spanning tree of a graph. It works by starting with an arbitrary node and adding the lowest-cost edge from that node to another node in the graph. This process is repeated until all nodes in the graph are connected. The formula for Prim's Algorithm is:

MST = { }

while MST does not contain all nodes
    find the lowest-cost edge (u, v) connecting a node in MST to a node not in MST
    add (u, v) to MST

return MST"
11. Dijkstra's Algorithm,"Dijkstra's Algorithm is a graph search algorithm used to find the shortest path between two nodes in a graph. It works by assigning a cost to each edge in the graph and then finding the path with the lowest cost. The algorithm works by first assigning a cost to each edge in the graph and then finding the path with the lowest cost. The algorithm then iteratively relaxes the edges in the graph until the shortest path is found. The formula for Dijkstra's Algorithm is:

Cost(u,v) = min(Cost(u,v), Cost(u,x) + Cost(x,v))

where u and v are two nodes in the graph, and x is a node on the path between u and v.","Dijkstra's Algorithm is a graph search algorithm used to find the shortest path between two nodes in a graph. It works by assigning a cost to each edge in the graph and then finding the path with the lowest cost. The algorithm works by first assigning a cost to each edge in the graph and then finding the path with the lowest cost. The algorithm then iteratively relaxes the edges in the graph until the shortest path is found. The formula for Dijkstra's Algorithm is:

Cost(u,v) = min(Cost(u,v), Cost(u,x) + Cost(x,v))

where u and v are two nodes in the graph, and x is a node on the path between u and v."
12. Floyd-Warshall Algorithm,"The Floyd-Warshall Algorithm is an algorithm used to find the shortest path between all pairs of nodes in a graph. It is a dynamic programming algorithm that works by iteratively updating the shortest path between each pair of nodes. The algorithm works by first initializing a matrix of distances between each pair of nodes, and then iteratively updating the matrix until the shortest path between each pair of nodes is found. The formula for the Floyd-Warshall Algorithm is:

D(i,j) = min(D(i,j), D(i,k) + D(k,j))

where D(i,j) is the distance between node i and node j, and k is a node in the graph.","The Floyd-Warshall Algorithm is an algorithm used to find the shortest path between all pairs of nodes in a graph. It is a dynamic programming algorithm that works by iteratively updating the shortest path between each pair of nodes. The algorithm works by first initializing a matrix of distances between each pair of nodes, and then iteratively updating the matrix until the shortest path between each pair of nodes is found. The formula for the Floyd-Warshall Algorithm is:

D(i,j) = min(D(i,j), D(i,k) + D(k,j))

where D(i,j) is the distance between node i and node j, and k is a node in the graph."
13. Bellman-Ford Algorithm,"The Bellman-Ford Algorithm is an algorithm used to find the shortest path between a source vertex and all other vertices in a weighted graph. It works by iteratively relaxing the edges of the graph, meaning that it finds the shortest path from the source vertex to each other vertex in the graph. The algorithm works by first assigning a distance value to each vertex, with the source vertex having a distance of 0 and all other vertices having a distance of infinity. Then, for each edge in the graph, the algorithm relaxes the edge by comparing the distance of the source vertex to the destination vertex. If the distance of the destination vertex is greater than the distance of the source vertex plus the weight of the edge, then the distance of the destination vertex is updated to the distance of the source vertex plus the weight of the edge. This process is repeated until all edges have been relaxed, and the shortest path from the source vertex to all other vertices is found. The formula for the Bellman-Ford Algorithm is:

d(v) = min(d(u) + w(u,v))

where d(v) is the distance of","The Bellman-Ford Algorithm is an algorithm used to find the shortest path between a source vertex and all other vertices in a weighted graph. It works by iteratively relaxing the edges of the graph, meaning that it finds the shortest path from the source vertex to each other vertex in the graph. The algorithm works by first assigning a distance value to each vertex, with the source vertex having a distance of 0 and all other vertices having a distance of infinity. Then, for each edge in the graph, the algorithm relaxes the edge by comparing the distance of the source vertex to the destination vertex. If the distance of the destination vertex is greater than the distance of the source vertex plus the weight of the edge, then the distance of the destination vertex is updated to the distance of the source vertex plus the weight of the edge. This process is repeated until all edges have been relaxed, and the shortest path from the source vertex to all other vertices is found. The formula for the Bellman-Ford Algorithm is:

d(v) = min(d(u) + w(u,v))

where d(v) is the distance of"
14. Moore-Hodgson Algorithm,"The Moore-Hodgson Algorithm is a scheduling algorithm used to determine the optimal order of tasks in a given set of tasks. It is based on the concept of minimizing the maximum lateness of a task, which is the difference between the completion time of a task and its due date. The algorithm works by assigning each task a priority based on its due date and the amount of time it takes to complete. The task with the highest priority is then scheduled first, followed by the task with the second highest priority, and so on. The formula for the Moore-Hodgson Algorithm is:

Priority = (Due Date - Completion Time) / Completion Time","The Moore-Hodgson Algorithm is a scheduling algorithm used to determine the optimal order of tasks in a given set of tasks. It is based on the concept of minimizing the maximum lateness of a task, which is the difference between the completion time of a task and its due date. The algorithm works by assigning each task a priority based on its due date and the amount of time it takes to complete. The task with the highest priority is then scheduled first, followed by the task with the second highest priority, and so on. The formula for the Moore-Hodgson Algorithm is:

Priority = (Due Date - Completion Time) / Completion Time"
